"sequence.sequenceID","alignment.name","alignment.displayName","sequence.m49_country.id","sequence.m49_country.display_name","sequence.gb_place_sampled","sequence.location","sequence.collection_year","sequence.earliest_collection_year","sequence.latest_collection_year","sequence.gb_length","sequence.gb_create_date","sequence.gb_update_date","sequence.host","sequence.gb_pubmed_id","sequence.isolate"
"KR906754","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Lindi region","Tanzania: Lindi region",2011,2011,2011,11865,"17-Apr-16","17-Apr-16","Canis familiaris",NA,"RV2784.1"
"KR906761","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Morogoro region","Tanzania: Morogoro region",2010,2010,2010,11845,"17-Apr-16","17-Apr-16","Canis familiaris",NA,"RV2811.1"
"KR906750","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Pemba island","Tanzania: Pemba island",2010,2010,2010,11854,"17-Apr-16","17-Apr-16","Canis familiaris",NA,"RV2778.1"
"KR906741","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Arusha Region","Tanzania: Arusha Region",2003,2003,2003,11923,"17-Apr-16","17-Apr-16","Canis familiaris",NA,"RV2504.1"
"KR906753","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Mtwara region","Tanzania: Mtwara region",2011,2011,2011,11922,"17-Apr-16","17-Apr-16","Bos taurus",NA,"RV2783.1"
"KR906768","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2011,2011,2011,11878,"17-Apr-16","17-Apr-16","Canis familiaris",NA,"RV2862.1"
"LC380189","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZMB","Zambia","Luapula, Nchelenge","Zambia: Luapula, Nchelenge",2014,2014,2014,609,"10-Aug-19","10-Aug-19","Canis lupus familiaris",31267444,"26_DOG_LP_2014"
"RV2932_11-06-2007_Same","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania",NA,"Tanzania: ",2007,2007,2007,11923,NA,NA,NA,NA,"RV2932"
"KR906735","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Morogoro region","Tanzania: Morogoro region",2008,2008,2008,11903,"17-Apr-16","17-Apr-16","Canis familiaris",NA,"RV2498.1"
"KR906736","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Morogoro region","Tanzania: Morogoro region",2008,2008,2008,11923,"17-Apr-16","17-Apr-16","Canis familiaris",NA,"RV2499.1"
"KR906763","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Morogoro region","Tanzania: Morogoro region",2010,2010,2010,11920,"17-Apr-16","17-Apr-16","Canis familiaris",NA,"RV2814.1"
"KR906740","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2009,2009,2009,11914,"17-Apr-16","17-Apr-16","Felis catus",NA,"RV2503.1"
"KR906764","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Morogoro region","Tanzania: Morogoro region",2010,2010,2010,11914,"17-Apr-16","17-Apr-16","Capra hircus",NA,"RV2815.1"
"KR906765","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Morogoro region","Tanzania: Morogoro region",2010,2010,2010,11923,"17-Apr-16","17-Apr-16","Canis familiaris",NA,"RV2816.1"
"KR906766","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Pemba island","Tanzania: Pemba island",2010,2010,2010,11914,"17-Apr-16","17-Apr-16","Canis familiaris",NA,"RV2817.1"
"KR906769","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2011,2011,2011,11923,"17-Apr-16","17-Apr-16","Canis familiaris",NA,"RV2871.1"
"KT336436","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2012,2012,2012,11923,"19-Aug-15","13-Oct-15","Canis lupus familiaris",26430028,"33512"
"KT336432","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2012,2012,2012,11923,"19-Aug-15","13-Oct-15","Canis lupus familiaris",26430028,"55612"
"MT454635","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2015,2015,2015,11923,"09-Jul-20","09-Jul-20","Canis lupus familiaris",NA,"682/15"
"KX148203","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","MOZ","Mozambique",NA,"Mozambique: -",1986,1986,1986,11801,"28-Nov-16","28-Nov-16","Canis familiaris",NA,"86031MOZ"
"MT454631","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2015,2015,2015,11923,"09-Jul-20","09-Jul-20","Canis lupus familiaris",NA,"125/15"
"MT454634","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2015,2015,2015,11923,"09-Jul-20","09-Jul-20","Canis lupus familiaris",NA,"471/15"
"MT454639","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2016,2016,2016,11923,"09-Jul-20","09-Jul-20","Canis lupus familiaris",NA,"635/16"
"MT454641","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2016,2016,2016,11923,"09-Jul-20","09-Jul-20","Canis lupus familiaris",NA,"690/16"
"MT454636","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2016,2016,2016,11923,"09-Jul-20","09-Jul-20","Canis lupus familiaris",NA,"516/16"
"MT454637","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2016,2016,2016,11923,"09-Jul-20","09-Jul-20","Canis lupus familiaris",NA,"583/16"
"MT454648","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2017,2017,2017,11923,"09-Jul-20","09-Jul-20","Canis mesomelas",NA,"466/17"
"MT454652","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2017,2017,2017,11923,"09-Jul-20","09-Jul-20","Canis mesomelas",NA,"483/17"
"MT454653","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2017,2017,2017,11923,"09-Jul-20","09-Jul-20","Canis mesomelas",NA,"502/17"
"MT454654","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2017,2017,2017,11923,"09-Jul-20","09-Jul-20","Canis mesomelas",NA,"503/17"
"RV2949_17-07-2009_Dodoma","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania",NA,"Tanzania: ",2009,2009,2009,11879,NA,NA,NA,NA,"RV2949"
"MT454644","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","ZAF","South Africa",NA,"South Africa: -",2017,2017,2017,11923,"09-Jul-20","09-Jul-20","Canis lupus familiaris",NA,"368/17"
"KR906767","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2011,2011,2011,11914,"17-Apr-16","17-Apr-16","Canis familiaris",NA,"RV2861.1"
"JX473840","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","NAM","Namibia","Khomas, Windhoek","Namibia: Khomas, Windhoek",2009,2009,2009,11923,"21-Oct-12","21-Oct-12","Tragelaphus strepsiceros (Namibian kudu)",NA,"239K09"
"KY210228","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2011,2011,2011,11856,"03-Dec-17","03-Dec-17","Capra hircus",NA,"rv2866"
"KX148205","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","RWA","Rwanda",NA,"Rwanda: -",1994,1994,1994,11801,"28-Nov-16","28-Nov-16","Canis familiaris",NA,"94289RWA"
"KR906783","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2012,2012,2012,11923,"17-Apr-16","17-Apr-16","Canis familiaris",NA,"RV3117.1"
"KR534244","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2011,2011,2011,11914,"06-Nov-15","01-Nov-16","Canis familiaris",27774283,"RV2889"
"KY210241","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2011,2011,2011,11905,"03-Dec-17","03-Dec-17","Capra hircus",NA,"rv2885"
"KR534245","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2011,2011,2011,11923,"06-Nov-15","01-Nov-16","Bos taurus",27774283,"RV2890"
"KR534246","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2011,2011,2011,11923,"06-Nov-15","01-Nov-16","civet",27774283,"RV2891"
"KR534247","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2011,2011,2011,11923,"06-Nov-15","01-Nov-16","Canis familiaris",27774283,"RV2892"
"KY210238","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2011,2011,2011,11923,"03-Dec-17","03-Dec-17","Canis familiaris",NA,"rv2882"
"KY210291","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2012,2012,2012,11923,"03-Dec-17","03-Dec-17","Jackal",NA,"rv3114"
"KR534248","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2011,2011,2011,11923,"06-Nov-15","01-Nov-16","Bos taurus",27774283,"RV2893"
"KY210232","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2011,2011,2011,11923,"03-Dec-17","03-Dec-17","Canis familiaris",NA,"rv2873"
"KY210235","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2011,2011,2011,11923,"03-Dec-17","03-Dec-17","Canis familiaris",NA,"rv2879"
"KY210231","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2011,2011,2011,11923,"03-Dec-17","03-Dec-17","Canis familiaris",NA,"rv2870"
"KR534249","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2011,2011,2011,11917,"06-Nov-15","01-Nov-16","Canis familiaris",27774283,"RV2895"
"KY210243","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2011,2011,2011,11914,"03-Dec-17","03-Dec-17","Canis familiaris",NA,"rv2887"
"KY210234","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2011,2011,2011,11914,"03-Dec-17","03-Dec-17","Canis familiaris",NA,"rv2878"
"KY210239","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2011,2011,2011,11923,"03-Dec-17","03-Dec-17","Canis familiaris",NA,"rv2883"
"KR534254","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2011,2011,2011,11923,"06-Nov-15","01-Nov-16","Felis catus",27774283,"RV2906"
"KY210229","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2011,2011,2011,11923,"03-Dec-17","03-Dec-17","Canis familiaris",NA,"rv2867"
"KY210258","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2013,2013,2013,11922,"03-Dec-17","03-Dec-17","Canis familiaris",NA,"rv3064"
"KR906787","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2012,2012,2012,11923,"17-Apr-16","17-Apr-16","Bos taurus",NA,"RV3131.1"
"KY210300","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2012,2012,2012,11923,"03-Dec-17","03-Dec-17","Canis familiaris",NA,"rv3135"
"KY210225","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2011,2011,2011,11923,"03-Dec-17","03-Dec-17","Capra hircus",NA,"rv2858"
"KY210246","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2012,2012,2012,11923,"03-Dec-17","03-Dec-17","Ovis aries",NA,"rv3048"
"KY210289","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2012,2012,2012,11920,"03-Dec-17","03-Dec-17","Canis familiaris",NA,"rv3110"
"KY210299","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2012,2012,2012,11914,"03-Dec-17","03-Dec-17","Canis familiaris",NA,"rv3134"
"KY210307","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2012,2012,2012,11923,"03-Dec-17","03-Dec-17","Canis familiaris",NA,"rv3150"
"KY210247","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2012,2012,2012,11923,"03-Dec-17","03-Dec-17","Canis familiaris",NA,"rv3049"
"KY210302","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2012,2012,2012,11920,"03-Dec-17","03-Dec-17","Capra hircus",NA,"rv3137"
"KR906771","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2011,2011,2011,11923,"17-Apr-16","17-Apr-16","Canis familiaris",NA,"RV2894.1"
"KY210272","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2013,2013,2013,11923,"03-Dec-17","03-Dec-17","Canis familiaris",NA,"rv3084"
"KY210290","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2012,2012,2012,11920,"03-Dec-17","03-Dec-17","Canis familiaris",NA,"rv3113"
"KY210301","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2012,2012,2012,11923,"03-Dec-17","03-Dec-17","Bos taurus",NA,"rv3136"
"KR906755","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2011,2011,2011,11923,"17-Apr-16","17-Apr-16","Canis familiaris",NA,"RV2793.1"
"KY210250","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2012,2012,2012,11920,"03-Dec-17","03-Dec-17","Canis familiaris",NA,"rv3052"
"KY210251","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2012,2012,2012,11923,"03-Dec-17","03-Dec-17","Canis familiaris",NA,"rv3053"
"KY210260","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2013,2013,2013,11897,"03-Dec-17","03-Dec-17","Canis familiaris",NA,"rv3067"
"KY210292","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2012,2012,2012,11923,"03-Dec-17","03-Dec-17","Canis familiaris",NA,"rv3115"
"KY210293","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2012,2012,2012,11915,"03-Dec-17","03-Dec-17","Canis familiaris",NA,"rv3119"
"KY210249","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2012,2012,2012,11923,"03-Dec-17","03-Dec-17","Canis familiaris",NA,"rv3051"
"KY210271","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2013,2013,2013,11923,"03-Dec-17","03-Dec-17","Canis familiaris",NA,"rv3082"
"KR906782","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2012,2012,2012,11919,"17-Apr-16","17-Apr-16","Canis familiaris",NA,"RV3111.1"
"KY210259","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2013,2013,2013,11920,"03-Dec-17","03-Dec-17","Felis catus",NA,"rv3066"
"KR906758","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Morogoro region","Tanzania: Morogoro region",2010,2010,2010,11825,"17-Apr-16","17-Apr-16","Ovis aries",NA,"RV2808.1"
"SD645_30-12-2016_Serengeti","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2016,2016,2016,11874,NA,NA,NA,NA,"SD645"
"SD678_06-10-2016_Serengeti","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2016,2016,2016,11923,NA,NA,NA,NA,"SD678"
"MN726817","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania",NA,"Tanzania: -",2016,2016,2016,11633,"25-Dec-19","25-Dec-19","Bos taurus",NA,"SD620"
"KR906757","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Lindi region","Tanzania: Lindi region",2010,2010,2010,11890,"17-Apr-16","17-Apr-16","Canis familiaris",NA,"RV2807.1"
"KR906751","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Lindi region","Tanzania: Lindi region",2011,2011,2011,11915,"17-Apr-16","17-Apr-16","Canis familiaris",NA,"RV2780.1"
"KR906747","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Iringa region","Tanzania: Iringa region",2010,2010,2010,11923,"17-Apr-16","17-Apr-16","Canis familiaris",NA,"RV2775.1"
"KR906746","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Dar es Salaam","Tanzania: Dar es Salaam",2010,2010,2010,11875,"17-Apr-16","17-Apr-16","Canis familiaris",NA,"RV2774.1"
"KR534218","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2008,2008,2008,11923,"06-Nov-15","01-Nov-16","Canis familiaris",27774283,"RV2491"
"KR534220","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2008,2008,2008,11923,"06-Nov-15","01-Nov-16","Canis familiaris",27774283,"RV2493"
"KR906737","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2008,2008,2008,11920,"17-Apr-16","17-Apr-16","Canis familiaris",NA,"RV2500.1"
"KR534217","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2008,2008,2008,11923,"06-Nov-15","01-Nov-16","Canis familiaris",27774283,"RV2490"
"KY210222","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2009,2009,2009,11923,"03-Dec-17","03-Dec-17","Canis familiaris",NA,"rv2489"
"KY210220","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2008,2008,2008,11914,"03-Dec-17","03-Dec-17","Capra hircus",NA,"rv2483"
"KR534235","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2011,2011,2011,11923,"06-Nov-15","01-Nov-16","Bos taurus",27774283,"RV2796"
"KY210224","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2010,2010,2010,11923,"03-Dec-17","03-Dec-17","Canis familiaris",NA,"rv2786"
"KR534236","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2011,2011,2011,11923,"06-Nov-15","01-Nov-16","Bos taurus",27774283,"RV2797"
"KR534237","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2011,2011,2011,11923,"06-Nov-15","01-Nov-16","Bos taurus",27774283,"RV2798"
"KR534256","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2011,2011,2011,11921,"06-Nov-15","01-Nov-16","Bos taurus",27774283,"RV2909"
"KY210303","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2012,2012,2012,11923,"03-Dec-17","03-Dec-17","Canis familiaris",NA,"rv3138"
"KR534250","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2011,2011,2011,11923,"06-Nov-15","01-Nov-16","Canis familiaris",27774283,"RV2897"
"KY210236","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2011,2011,2011,11914,"03-Dec-17","03-Dec-17","Bos taurus",NA,"rv2880"
"KY210230","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2011,2011,2011,11923,"03-Dec-17","03-Dec-17","Bos taurus",NA,"rv2868"
"KR906738","AL_Cosmopolitan_AF1b","Cosmopolitan AF1b","TZA","Tanzania","Serengeti District","Tanzania: Serengeti District",2004,2004,2004,11923,"17-Apr-16","17-Apr-16","Bos taurus",NA,"RV2501.1"
