Region,District,Ward,Village,Population
Kaskazini Pemba,Wete,Pandani,Masipa,1311
Kaskazini Pemba,Wete,Shengejuu,Shengejuu,794
Kaskazini Pemba,Wete,Shengejuu,Masota,959
Kaskazini Pemba,Wete,Bopwe,Bopwe Mwisho,2085
Kaskazini Pemba,Wete,Bopwe,Bopwe Mjini,1317
Kaskazini Pemba,Wete,Bopwe,Sebuwatu,1810
Kaskazini Pemba,Wete,Utaani,Utaani,1149
Kaskazini Pemba,Wete,Utaani,Mkwajuni,665
Kaskazini Pemba,Wete,Utaani,Chasasa,2015
Kaskazini Pemba,Wete,Mtambwe Kusini,Daya,1045
Kaskazini Pemba,Wete,Mtambwe Kusini,Kinazini,928
Kaskazini Pemba,Wete,Mtambwe Kusini,Makongeni,692
Kaskazini Pemba,Wete,Mtambwe Kusini,Kivumoni,778
Kaskazini Pemba,Wete,Mtambwe Kusini,Kokota,348
Kaskazini Pemba,Wete,Selem,Selem,1705
Kaskazini Pemba,Wete,Selem,Kaizibe,476
Kaskazini Pemba,Wete,Selem,Bomani,422
Kaskazini Pemba,Wete,Kinyikani,Kinyikani,1161
Kaskazini Pemba,Wete,Kinyikani,Jojo,1135
Kaskazini Pemba,Wete,Chwale,Mkanjuni,440
Kaskazini Pemba,Wete,Chwale,Chwale,895
Kaskazini Pemba,Wete,Chwale,Madenjani,363
Kaskazini Pemba,Wete,Maziwani,Maziwani,1158
Kaskazini Pemba,Wete,Maziwani,Mwane,893
Kaskazini Pemba,Wete,Mpambani,Mkombo Ame,1027
Kaskazini Pemba,Wete,Mpambani,Mpambani,1151
Kaskazini Pemba,Wete,Mjini Ole,Mjini Ole,1412
Kaskazini Pemba,Wete,Mjini Ole,Makaani,245
Kaskazini Pemba,Wete,Mjini Ole,Mchangani,1874
Kaskazini Pemba,Wete,Kiuyu Kigongoni,Fimbo,850
Kaskazini Pemba,Wete,Kiuyu Kigongoni,Maambani,367
Kaskazini Pemba,Wete,Kiuyu Kigongoni,Kigongoni,1486
Kaskazini Pemba,Wete,Mzambarauni Takao,Mchangani,315
Kaskazini Pemba,Wete,Mzambarauni Takao,Takao,1164
Kaskazini Pemba,Wete,Mzambarauni Takao,Machengwe,522
Kaskazini Pemba,Wete,Junguni,Junguni,1251
Kaskazini Pemba,Wete,Junguni,Utaani,1296
Kaskazini Pemba,Wete,Kiungoni,Kimango,931
Kaskazini Pemba,Wete,Kiungoni,Chonyi,1024
Kaskazini Pemba,Wete,Kiungoni,Kiungoni,444
Kaskazini Pemba,Wete,Kiungoni,Kivugo,713
Kaskazini Pemba,Wete,Pembeni,Pembeni,351
Kaskazini Pemba,Wete,Pembeni,Mtemani,1338
Kaskazini Pemba,Wete,Kizimbani,Mitondooni,2800
Kaskazini Pemba,Wete,Kizimbani,Miburani,1145
Kaskazini Pemba,Wete,Kizimbani,Kilwa Road,759
Kaskazini Pemba,Wete,Kizimbani,Baghani,1171
Kaskazini Pemba,Wete,Limbani,Kifumbikai,1128
Kaskazini Pemba,Wete,Limbani,Limbani,2295
Kaskazini Pemba,Wete,Limbani,Tungamaa,496
Kaskazini Pemba,Wete,Jadida,Mtemani,1630
Kaskazini Pemba,Wete,Jadida,Jadida,1767
Kaskazini Pemba,Wete,Jadida,Chasasa,1146
Kaskazini Pemba,Wete,Jadida,Mji Mwema,1650
Kaskazini Pemba,Micheweni,Micheweni,Mzambarauni,1263
Kaskazini Pemba,Micheweni,Micheweni,Jichwa Gumu,641
Kaskazini Pemba,Micheweni,Micheweni,Kwa Nondo,434
Kaskazini Pemba,Micheweni,Micheweni,Chamboni,1123
Kaskazini Pemba,Micheweni,Micheweni,Mchuzi,1179
Kaskazini Pemba,Micheweni,Micheweni,Rohombaya,778
Kaskazini Pemba,Micheweni,Micheweni,Shimoni,779
Kaskazini Pemba,Micheweni,Msuka Mashariki,Taponi,1321
Kaskazini Pemba,Micheweni,Msuka Mashariki,Ungi,473
Kaskazini Pemba,Micheweni,Msuka Mashariki,Kivumoni,834
Kaskazini Pemba,Micheweni,Msuka Mashariki,Chaleni,812
Kaskazini Pemba,Micheweni,Msuka Mashariki,Dodea,325
Kaskazini Pemba,Micheweni,Msuka Mashariki,Kigongo,495
Kaskazini Pemba,Micheweni,Kinowe,Kinowe,1203
Kaskazini Pemba,Micheweni,Kinowe,Rahikani,1556
Kaskazini Pemba,Micheweni,Kinowe,Furahia,1621
Kaskazini Pemba,Micheweni,Tumbe Mashariki,Kikunguni,985
Kaskazini Pemba,Micheweni,Tumbe Mashariki,Kaliwa,1159
Kaskazini Pemba,Micheweni,Tumbe Mashariki,Mjini Tumbe,375
Kaskazini Pemba,Micheweni,Tumbe Mashariki,Miembeni,1347
Kaskazini Pemba,Micheweni,Tumbe Mashariki,Nyikani,813
Kaskazini Pemba,Micheweni,Mgogoni,Chanjaani,1039
Kaskazini Pemba,Micheweni,Mgogoni,Kwale Gongo,1443
Kaskazini Pemba,Micheweni,Shumba Viamboni,Uwondwe,1617
Kaskazini Pemba,Micheweni,Shumba Viamboni,Shumba Viamboni,963
Kaskazini Pemba,Micheweni,Finya,Finya,1486
Kaskazini Pemba,Micheweni,Finya,Banda Maji,1122
Kaskazini Pemba,Micheweni,Konde,Chanjaani,779
Kaskazini Pemba,Micheweni,Konde,Kiperani,881
Kaskazini Pemba,Micheweni,Konde,Konde,1383
Kaskazini Pemba,Micheweni,Konde,Kiungani,1384
Kaskazini Pemba,Micheweni,Konde,Kipange,1803
Kaskazini Pemba,Micheweni,Konde,Kwa Manda,866
Kaskazini Pemba,Micheweni,Konde,Upembani,1477
Kaskazini Pemba,Micheweni,Wingwi Mapofu,Kilindini,1071
Kaskazini Pemba,Micheweni,Wingwi Mapofu,Kandaani,1050
Kaskazini Pemba,Micheweni,Wingwi Mapofu,Mapofu,1356
Kaskazini Pemba,Micheweni,Wingwi Mapofu,Kinazini,1027
Kaskazini Pemba,Micheweni,Kiuyu Mbuyuni,Mkwaju Shauri,743
Kaskazini Pemba,Micheweni,Kiuyu Mbuyuni,Mkwaju Panda,799
Kaskazini Pemba,Micheweni,Kiuyu Mbuyuni,Mkondoni,1027
Kaskazini Pemba,Micheweni,Kiuyu Mbuyuni,Shanake,903
Kaskazini Pemba,Micheweni,Kiuyu Mbuyuni,Shanake,1496
Kaskazini Pemba,Micheweni,Kiuyu Mbuyuni,Makombani,739
Kaskazini Pemba,Micheweni,Kiuyu Mbuyuni,Mtongwe,709
Kaskazini Pemba,Micheweni,Makangale,Mnarani,974
Kaskazini Pemba,Micheweni,Makangale,Jiwe Moja,1671
Kaskazini Pemba,Micheweni,Wingwi Njuguni,Njuguni,1025
Kaskazini Pemba,Micheweni,Wingwi Njuguni,Kibuyuni,271
Kaskazini Pemba,Micheweni,Wingwi Njuguni,Dodeani,359
Kaskazini Pemba,Micheweni,Wingwi Njuguni,Mianzini,397
Kaskazini Pemba,Micheweni,Shumba Mjini,Chamboni,849
Kaskazini Pemba,Micheweni,Shumba Mjini,Msasani,1563
Kaskazini Pemba,Micheweni,Shumba Mjini,Mzambarauni,1132
Kaskazini Pemba,Micheweni,Shumba Mjini,Mtamaduni,543
Kaskazini Pemba,Micheweni,Shumba Mjini,Momogu,676
Kaskazini Pemba,Micheweni,Majenzi,Mjombo,726
Kaskazini Pemba,Micheweni,Majenzi,Kwashaamemata,492
Kaskazini Pemba,Micheweni,Majenzi,Majenzi,287
Kaskazini Pemba,Micheweni,Majenzi,Cottage,430
Kaskazini Pemba,Micheweni,Majenzi,Tanga,435
Kaskazini Pemba,Micheweni,Mjini Wingwi,Kidutani,281
Kaskazini Pemba,Micheweni,Mjini Wingwi,Kiupwe,816
Kaskazini Pemba,Micheweni,Mjini Wingwi,Sebudawa,516
Kaskazini Pemba,Micheweni,Mjini Wingwi,Bondeni,1018
Kaskazini Pemba,Micheweni,Mjini Wingwi,Dodoma,1154
Kaskazini Pemba,Micheweni,Mjini Wingwi,Msasani,736
Kaskazini Pemba,Micheweni,Msuka Magharibi,Mtongwe,2026
Kaskazini Pemba,Micheweni,Msuka Magharibi,Dodea,292
Kaskazini Pemba,Micheweni,Msuka Magharibi,Gombani,679
Kaskazini Pemba,Micheweni,Msuka Magharibi,Mtoni,1277
Kaskazini Pemba,Micheweni,Chimba,Pombwe,726
Kaskazini Pemba,Micheweni,Chimba,Chimba,1488
Kaskazini Pemba,Micheweni,Chimba,Bule,866
Kaskazini Pemba,Micheweni,Tumbe Magharibi,Mbuyuni,2027
Kaskazini Pemba,Micheweni,Tumbe Magharibi,Nyikani,1479
Kaskazini Pemba,Micheweni,Tumbe Magharibi,Kibiriti,722
Kaskazini Pemba,Micheweni,Sizini,Chanjaani,1659
Kaskazini Pemba,Micheweni,Sizini,Sizini,3625
Kaskazini Pemba,Micheweni,Kinyasini,Kinyasini,2234
Kaskazini Pemba,Micheweni,Kinyasini,Taifu,954
Kaskazini Pemba,Micheweni,Mihogoni,Nyuma ya Mti,730
Kaskazini Pemba,Micheweni,Mihogoni,Kikunguni,1419
Kaskazini Pemba,Micheweni,Mihogoni,Mihogoni,447
Kaskazini Pemba,Micheweni,Kifundi,Kifundi,1672
Kaskazini Pemba,Micheweni,Kifundi,Kipangani,1124
Kaskazini Pemba,Micheweni,Maziwa Ng'ombe,Mbokoni,1308
Kaskazini Pemba,Micheweni,Maziwa Ng'ombe,Mbuyu Goe,370
Kaskazini Pemba,Micheweni,Maziwa Ng'ombe,Kitonga,440
Kaskazini Pemba,Micheweni,Maziwa Ng'ombe,Mbuzini,845
Kaskazini Pemba,Micheweni,Maziwa Ng'ombe,Majenzi,1176
Kaskazini Pemba,Micheweni,Maziwa Ng'ombe,Kibagoni,1165
Kaskazini Pemba,Micheweni,Maziwa Ng'ombe,Rahaleo,516
Kaskazini Pemba,Micheweni,Tondooni,Makangale,985
Kaskazini Pemba,Micheweni,Tondooni,Tondooni,928
Kaskazini Pemba,Micheweni,Tondooni,Mkia wa Ng'ombe,792
Kaskazini Pemba,Micheweni,Mtemani,Chokaningayo,834
Kaskazini Pemba,Micheweni,Mtemani,Mtemani,1307
Kaskazini Pemba,Micheweni,Mtemani,Njuguni,876
Kaskazini Pemba,Micheweni,Wingwi Mjananza,Kidutani,790
Kaskazini Pemba,Micheweni,Wingwi Mjananza,Mjanaza,912
Kaskazini Pemba,Micheweni,Mlindo,Makomeni,478
Kaskazini Pemba,Micheweni,Mlindo,Mtakao,965
Kaskazini Pemba,Micheweni,Mlindo,Mlindo,653
Kusini Pemba,Chake Chake,Chanjaani,Vijijini,1124
Kusini Pemba,Chake Chake,Chanjaani,Mwembe Togwa,1733
Kusini Pemba,Chake Chake,Chanjaani,Zaire,454
Kusini Pemba,Chake Chake,Wawi,Mji wa Chini,931
Kusini Pemba,Chake Chake,Wawi,Wawi,3927
Kusini Pemba,Chake Chake,Wawi,Fidel Castro,757
Kusini Pemba,Chake Chake,Pujini,Mtimbu,1369
Kusini Pemba,Chake Chake,Pujini,Pujini,1698
Kusini Pemba,Chake Chake,Pujini,Tondooni,999
Kusini Pemba,Chake Chake,Ziwani,Ziwani,2583
Kusini Pemba,Chake Chake,Ziwani,Mchanga wa Kwale,778
Kusini Pemba,Chake Chake,Ziwani,Pembeni,662
Kusini Pemba,Chake Chake,Ndagoni,Kichanjaani,791
Kusini Pemba,Chake Chake,Ndagoni,Jamvini,735
Kusini Pemba,Chake Chake,Ndagoni,Ndagoni,1296
Kusini Pemba,Chake Chake,Ndagoni,Buyuni,1083
Kusini Pemba,Chake Chake,Kwale,Semewani,534
Kusini Pemba,Chake Chake,Kwale,Nyapi,861
Kusini Pemba,Chake Chake,Kwale,Miburani,1619
Kusini Pemba,Chake Chake,Kwale,Kwale,766
Kusini Pemba,Chake Chake,Vitongoji,Changuo,1491
Kusini Pemba,Chake Chake,Vitongoji,Vumba,784
Kusini Pemba,Chake Chake,Vitongoji,Vikutani,2027
Kusini Pemba,Chake Chake,Vitongoji,Darajani,216
Kusini Pemba,Chake Chake,Ng'ambwa,Gombani,3706
Kusini Pemba,Chake Chake,Ng'ambwa,Ng'ambwa,351
Kusini Pemba,Chake Chake,Ng'ambwa,Vikunguni,2076
Kusini Pemba,Chake Chake,Shungi,Chanjamjawiri,1455
Kusini Pemba,Chake Chake,Shungi,Shungi,1033
Kusini Pemba,Chake Chake,Chonga,Njia ya Kidongo,1260
Kusini Pemba,Chake Chake,Chonga,Chonga,1374
Kusini Pemba,Chake Chake,Chonga,Tondooni,685
Kusini Pemba,Chake Chake,Mgelema,Mgelema,857
Kusini Pemba,Chake Chake,Mgelema,Ngomeni,393
Kusini Pemba,Chake Chake,Kilindi,Tundaua,1002
Kusini Pemba,Chake Chake,Kilindi,Utaani,333
Kusini Pemba,Chake Chake,Kilindi,Papani,472
Kusini Pemba,Chake Chake,Kilindi,Tuwatugawe,638
Kusini Pemba,Chake Chake,Kilindi,Banaani,798
Kusini Pemba,Chake Chake,Kilindi,Kungeni,705
Kusini Pemba,Chake Chake,Tibirinzi,Pondeani,1602
Kusini Pemba,Chake Chake,Tibirinzi,Tibirinzi,908
Kusini Pemba,Chake Chake,Tibirinzi,Muharitani,1531
Kusini Pemba,Chake Chake,Chachani,Chachani,974
Kusini Pemba,Chake Chake,Wara,Ujinga,1473
Kusini Pemba,Chake Chake,Wara,Wara,1257
Kusini Pemba,Chake Chake,Wara,Machomane,1200
Kusini Pemba,Chake Chake,Mvumoni,Mvumoni,1176
Kusini Pemba,Chake Chake,Mvumoni,Furaha,1287
Kusini Pemba,Chake Chake,Matale,Limani,757
Kusini Pemba,Chake Chake,Matale,Muembe Karata,2124
Kusini Pemba,Chake Chake,Matale,Chanjamjawiri,1031
Kusini Pemba,Chake Chake,Wesha,Tondooni,1051
Kusini Pemba,Chake Chake,Wesha,Kijangwani,1639
Kusini Pemba,Chake Chake,Wesha,Wesha,1203
Kusini Pemba,Chake Chake,Uwandani,Uwandani,1768
Kusini Pemba,Chake Chake,Uwandani,Makaani,195
Kusini Pemba,Chake Chake,Uwandani,Mjanaza,668
Kusini Pemba,Chake Chake,Madungu,Mtoni,669
Kusini Pemba,Chake Chake,Madungu,Shamiani,1212
Kusini Pemba,Chake Chake,Madungu,Fueni,1205
Kusini Pemba,Chake Chake,Madungu,Madungu,807
Kusini Pemba,Chake Chake,Madungu,Gongo Mawe,358
Kusini Pemba,Chake Chake,Mgogoni,Kichangani,796
Kusini Pemba,Chake Chake,Mgogoni,Ditia,745
Kusini Pemba,Chake Chake,Mgogoni,Mgogoni,1057
Kusini Pemba,Chake Chake,Dodo,Mitamani,517
Kusini Pemba,Chake Chake,Dodo,Dodo,1377
Kusini Pemba,Chake Chake,Dodo,Mbuni,281
Kusini Pemba,Chake Chake,Dodo,Kibaridi,1198
Kusini Pemba,Chake Chake,Dodo,Kichanjaani,896
Kusini Pemba,Chake Chake,Mbuzini,Mbuzini,2084
Kusini Pemba,Chake Chake,Mbuzini,Mavungwa,835
Kusini Pemba,Chake Chake,Michungwani,Kukuchuni,571
Kusini Pemba,Chake Chake,Michungwani,Michungwani,842
Kusini Pemba,Chake Chake,Michungwani,Tumbatu,361
Kusini Pemba,Chake Chake,Michungwani,Birikau,683
Kusini Pemba,Chake Chake,Kibokoni,Umangani,807
Kusini Pemba,Chake Chake,Kibokoni,Kibokoni,1777
Kusini Pemba,Chake Chake,Kichungwani,Mkungu Malofa,747
Kusini Pemba,Chake Chake,Kichungwani,Raha Leo,559
Kusini Pemba,Chake Chake,Kichungwani,Miembeni,452
Kusini Pemba,Chake Chake,Kichungwani,Kichungwani,400
Kusini Pemba,Chake Chake,Msingini,Michakaini,881
Kusini Pemba,Chake Chake,Msingini,Msingini,751
Kusini Pemba,Chake Chake,Msingini,Mtoni,673
Kusini Pemba,Chake Chake,Mkoroshoni,Mkoroshoni,1546
Kusini Pemba,Chake Chake,Mkoroshoni,Mkanjuni,1512
Kusini Pemba,Chake Chake,Mkoroshoni,Ndugu Kitu,415
Kusini Pemba,Chake Chake,Mfikiwa,Mfikiwa,1395
Kusini Pemba,Chake Chake,Mfikiwa,Kilimahodi,641
Kusini Pemba,Mkoani,Ng'ombeni,Jondeni,1074
Kusini Pemba,Mkoani,Ng'ombeni,Kinyasini,566
Kusini Pemba,Mkoani,Ng'ombeni,Mfenesi Mazizi,701
Kusini Pemba,Mkoani,Ng'ombeni,Msingini,818
Kusini Pemba,Mkoani,Makombeni,Eneani,1399
Kusini Pemba,Mkoani,Makombeni,Katumeni,447
Kusini Pemba,Mkoani,Makombeni,Kinyasini,844
Kusini Pemba,Mkoani,Makombeni,Kizambarauni,570
Kusini Pemba,Mkoani,Makombeni,Matumbini Kubwa,38
Kusini Pemba,Mkoani,Shidi,Mwambani,420
Kusini Pemba,Mkoani,Shidi,Shidi,562
Kusini Pemba,Mkoani,Mkanyageni,Ngomani,423
Kusini Pemba,Mkoani,Mkanyageni,Mkanyageni,1911
Kusini Pemba,Mkoani,Mkanyageni,Tasini,328
Kusini Pemba,Mkoani,Mkanyageni,Bogoa,507
Kusini Pemba,Mkoani,Michenzani,Mchengele,1735
Kusini Pemba,Mkoani,Michenzani,Michenzani,1197
Kusini Pemba,Mkoani,Chokocho,Ulenge,1492
Kusini Pemba,Mkoani,Chokocho,Mlimuni,840
Kusini Pemba,Mkoani,Chokocho,Chamboni,1401
Kusini Pemba,Mkoani,Chokocho,Chokocho,806
Kusini Pemba,Mkoani,Kisiwa Panza,Mitondooni,1383
Kusini Pemba,Mkoani,Kisiwa Panza,Panza,1704
Kusini Pemba,Mkoani,Kangani,Shukeni,1343
Kusini Pemba,Mkoani,Kangani,Msumbiji,261
Kusini Pemba,Mkoani,Kangani,Msijeni,567
Kusini Pemba,Mkoani,Kangani,Sokoni,1824
Kusini Pemba,Mkoani,Kengeja,Mjiweni,1317
Kusini Pemba,Mkoani,Kengeja,Kaani,1343
Kusini Pemba,Mkoani,Kengeja,Mwakunguu,440
Kusini Pemba,Mkoani,Kengeja,Chole,925
Kusini Pemba,Mkoani,Kengeja,Kidutani,873
Kusini Pemba,Mkoani,Kengeja,Jomvu,1338
Kusini Pemba,Mkoani,Kengeja,Sokoni,731
Kusini Pemba,Mkoani,Muambe,Mchakwe,1221
Kusini Pemba,Mkoani,Muambe,Chaleni,2520
Kusini Pemba,Mkoani,Muambe,Bwegeza,1910
Kusini Pemba,Mkoani,Muambe,Chaleni Kusini,1012
Kusini Pemba,Mkoani,Kiwani,Kiwani,2329
Kusini Pemba,Mkoani,Kiwani,Michakweni,697
Kusini Pemba,Mkoani,Mtambile,Kigope,456
Kusini Pemba,Mkoani,Mtambile,Jaani,311
Kusini Pemba,Mkoani,Mtambile,Jonza,887
Kusini Pemba,Mkoani,Mtambile,Mtakakaa,1130
Kusini Pemba,Mkoani,Mtambile,Sokoni,1122
Kusini Pemba,Mkoani,Mtambile,Muwanda,438
Kusini Pemba,Mkoani,Mtambile,Kichunjuu,546
Kusini Pemba,Mkoani,Mizingani,Jambangome,892
Kusini Pemba,Mkoani,Mizingani,Mizingani,736
Kusini Pemba,Mkoani,Ngwachani,Mkungu,767
Kusini Pemba,Mkoani,Ngwachani,Tangaani,372
Kusini Pemba,Mkoani,Ngwachani,Maweni,752
Kusini Pemba,Mkoani,Ngwachani,Ngwachani,882
Kusini Pemba,Mkoani,Ngwachani,Kuyuni,338
Kusini Pemba,Mkoani,Chambani,Mapape,982
Kusini Pemba,Mkoani,Chambani,Chaka la Kati,733
Kusini Pemba,Mkoani,Chambani,Matele,1334
Kusini Pemba,Mkoani,Chambani,Kekewani,1571
Kusini Pemba,Mkoani,Chambani,Tondooni,505
Kusini Pemba,Mkoani,Chambani,Tumbini,969
Kusini Pemba,Mkoani,Wambaa,Kwa Azani,1551
Kusini Pemba,Mkoani,Wambaa,Wambaa,693
Kusini Pemba,Mkoani,Wambaa,Mialeni,306
Kusini Pemba,Mkoani,Wambaa,Msiakwe,374
Kusini Pemba,Mkoani,Wambaa,Ziwani,347
Kusini Pemba,Mkoani,Mbuguani,Tironi,610
Kusini Pemba,Mkoani,Mbuguani,Kilima Upendo,355
Kusini Pemba,Mkoani,Mbuguani,Mbuguani,759
Kusini Pemba,Mkoani,Uweleni,Kinyasini,446
Kusini Pemba,Mkoani,Uweleni,Uweleni,1511
Kusini Pemba,Mkoani,Uweleni,Mapinduzi,581
Kusini Pemba,Mkoani,Mtangani,Mtangani,1082
Kusini Pemba,Mkoani,Mtangani,Chwaka,956
Kusini Pemba,Mkoani,Mtangani,Kichaka,1160
Kusini Pemba,Mkoani,Ukutini,Miamboni,518
Kusini Pemba,Mkoani,Ukutini,Ukutini,1083
Kusini Pemba,Mkoani,Ukutini,Chanjaani,767
Kusini Pemba,Mkoani,Ukutini,Nzisiwe,378
Kusini Pemba,Mkoani,Chumbageni,Chumbageni,1700
Kusini Pemba,Mkoani,Chumbageni,Tumbi,660
Kusini Pemba,Mkoani,Chumbageni,Andikoni,219
Kusini Pemba,Mkoani,Mbuyuni,Makadara,454
Kusini Pemba,Mkoani,Mbuyuni,Kikwajuni,367
Kusini Pemba,Mkoani,Mbuyuni,Mjini Mkoani,523
Kusini Pemba,Mkoani,Mbuyuni,Mbuyuni,539
Kusini Pemba,Mkoani,Stahabu,Stahabu,389
Kusini Pemba,Mkoani,Stahabu,Chanjani,1602
Kusini Pemba,Mkoani,Stahabu,Kilimani,378
Kusini Pemba,Mkoani,Kuukuu,Kinyasini,861
Kusini Pemba,Mkoani,Kuukuu,Kuu Kuu,1265
Kusini Pemba,Mkoani,Mjimbini,Sokoni,988
Kusini Pemba,Mkoani,Mjimbini,Mjimbini,868
Kusini Pemba,Mkoani,Mjimbini,Tanga,319
Kusini Pemba,Mkoani,Mjimbini,Tondooni,231
Kusini Pemba,Mkoani,Shamiani,Shamiani,951
Kusini Pemba,Mkoani,Jombwe,Chanjaani,927
Kusini Pemba,Mkoani,Jombwe,Mgombea,1209
Kusini Pemba,Mkoani,Jombwe,Jombwe,876
Kusini Pemba,Mkoani,Kendwa,Kitondooni,467
Kusini Pemba,Mkoani,Kendwa,Vizuke,421
Kusini Pemba,Mkoani,Kendwa,Junda Miti,1503
Kusini Pemba,Mkoani,Kendwa,Nanguji,1721
Kusini Pemba,Mkoani,Kendwa,Kendwa,384
Kusini Pemba,Mkoani,Minazini,Mtadoda,464
Kusini Pemba,Mkoani,Minazini,Minazini,287
Kusini Pemba,Mkoani,Minazini,Mitatuni,276
Kusini Pemba,Mkoani,Minazini,Kivumoni,436
Kusini Pemba,Mkoani,Mgagadu,Ngezi,583
Kusini Pemba,Mkoani,Mgagadu,Mgagadu,512
Kusini Pemba,Mkoani,Mgagadu,Kilimni,972
Kusini Pemba,Mkoani,Mgagadu,Kalani,261
Kusini Pemba,Mkoani,Mkungu,Mkungu,734
Kusini Pemba,Mkoani,Mkungu,Sipwese,638
Kusini Pemba,Mkoani,Changaweni,Changaweni,929
Kusini Pemba,Mkoani,Changaweni,Kwa Changawe,445
Kusini Pemba,Mkoani,Changaweni,Mtuhaliwa,488
