"District","Shehia","subvillage","vacc_date","dogs_vaccinated","Cats_vaccinated","total_dog_estimate","DW"
"Micheweni","Wingwi Mapofu","Mapofu ulaya","2/10/2017",12,0,19,"Micheweni_Wingwi Mapofu"
"Micheweni","Shumba Viamboni","Shumba Vyamboni","3/10/2017",31,0,34,"Micheweni_Shumba Viamboni"
"Micheweni","Wingwi Njuguni","Michungani","3/10/2017",13,0,13,"Micheweni_Wingwi Njuguni"
"Micheweni","Tondooni","Mali kumi","3/10/2017",14,0,30,"Micheweni_Tondooni"
"Micheweni","Makangale","Mishelini","3/10/2017",34,0,34,"Micheweni_Makangale"
"Micheweni","Chimba","Chimba kizomwe","3/10/2017",23,0,56,"Micheweni_Chimba"
"Micheweni","Kifundi","Kifundi ","3/10/2017",32,0,37,"Micheweni_Kifundi"
"Micheweni","Kinowe","Chanjaani","3/10/2017",7,0,10,"Micheweni_Kinowe"
"Micheweni","Konde","","3/10/2017",2,0,3,"Micheweni_Konde"
"Micheweni","Kifundi","Maili tisa","4/10/2017",6,0,11,"Micheweni_Kifundi"
"Micheweni","Kiuyu Mbuyuni","Chuo kiislam","4/10/2017",5,0,13,"Micheweni_Kiuyu Mbuyuni"
"Micheweni","Tondooni","","4/10/2017",6,0,32,"Micheweni_Tondooni"
"Micheweni","Mgogoni","Kwale","9/10/2017",35,0,56,"Micheweni_Mgogoni"
"Micheweni","Finya","Finya selemu","9/10/2017",26,0,27,"Micheweni_Finya"
"Micheweni","Mtemani","Bubujiko","9/10/2017",4,0,9,"Micheweni_Mtemani"
"Wete","Limbani","Kwa kibeberu","9/10/2017",13,0,29,"Wete_Limbani"
"Wete","Selem","K/ndege","9/10/2017",3,0,4,"Wete_Selem"
"Wete","Pembeni","Chawanyangombe","10/10/2017",9,0,23,"Wete_Pembeni"
"Wete","Shengejuu","Shengejuu","10/10/2017",3,0,3,"Wete_Shengejuu"
"Wete","Maziwani","Maziwani","10/10/2017",5,0,6,"Wete_Maziwani"
"Wete","Chwale","Chwale","10/10/2017",12,0,12,"Wete_Chwale"
"Wete","Kiungoni","Kwa mwana ","10/10/2017",30,0,32,"Wete_Kiungoni"
"Wete","Kinyikani","Kinyikani","10/10/2017",6,0,14,"Wete_Kinyikani"
"Wete","Mzambarauni Takao","Machengwe juu","10/10/2017",1,0,8,"Wete_Mzambarauni Takao"
"Wete","Junguni","Madaniwa","10/10/2017",6,0,28,"Wete_Junguni"
"Wete","Kipangani","Kipangani","10/10/2017",6,0,6,"Wete_Kipangani"
"Wete","Ukunjwi","Ukunjwi","10/10/2017",23,0,37,"Wete_Ukunjwi"
"Wete","Junguni","Hospital","10/10/2017",18,0,38,"Wete_Junguni"
"Wete","Kiuyu Kigongoni","Kiuyu kigongoni","10/10/2017",2,0,2,"Wete_Kiuyu Kigongoni"
"Wete","Shengejuu","Masota","11/10/2017",6,0,6,"Wete_Shengejuu"
"Wete","Limbani","Weni","11/10/2017",2,0,2,"Wete_Limbani"
"Wete","Fundo","Ndooni","12/10/2017",22,0,36,"Wete_Fundo"
"Chake Chake","Shungi","Limani","25/09/2017",37,0,39,"Chake Chake_Shungi"
"Chake Chake","Chachani","Msingini","25/09/2017",2,0,2,"Chake Chake_Chachani"
"Chake Chake","Mvumoni","Mbuyuni","25/09/2017",21,0,23,"Chake Chake_Mvumoni"
"Chake Chake","Chanjaani","Msikitini ","25/09/2017",9,0,10,"Chake Chake_Chanjaani"
"Chake Chake","Matale","Matale","25/09/2017",38,0,40,"Chake Chake_Matale"
"Wete","Mjini Ole","Mjini ole","25/09/2017",14,0,18,"Wete_Mjini Ole"
"Chake Chake","Mbuzini","Sokoni","25/09/2017",6,0,6,"Chake Chake_Mbuzini"
"Wete","Ole","Vumba","25/09/2017",84,0,88,"Wete_Ole"
"Chake Chake","Uwandani","Uwandani","25/09/2017",14,0,18,"Chake Chake_Uwandani"
"Chake Chake","Chonga","Melinne","26/09/2017",18,0,18,"Chake Chake_Chonga"
"Chake Chake","Mgelema","Zstc","26/09/2017",2,0,2,"Chake Chake_Mgelema"
"Chake Chake","Mgogoni","Chanjaani","26/09/2017",66,0,74,"Chake Chake_Mgogoni"
"Chake Chake","Kilindi","Kilindi","26/09/2017",1,0,4,"Chake Chake_Kilindi"
"Chake Chake","Pujini","Mtimbu","27/09/2017",33,0,34,"Chake Chake_Pujini"
"Wete","Ole","Kanambe","27/09/2017",10,0,11,"Wete_Ole"
"Chake Chake","Ng'ambwa","Vikunguni","27/09/2017",19,0,21,"Chake Chake_Ng'ambwa"
"Chake Chake","Ndagoni","Kichanjani","27/09/2017",29,0,31,"Chake Chake_Ndagoni"
"Chake Chake","Tibirinzi","Ponogani","27/09/2017",7,0,7,"Chake Chake_Tibirinzi"
"Chake Chake","Wawi","Mtemani","28/09/2017",62,0,70,"Chake Chake_Wawi"
"Chake Chake","Michungwani","Tumbatu","28/09/2017",1,0,1,"Chake Chake_Michungwani"
"Chake Chake","Mfikiwa","Kwa mahita","28/09/2017",5,0,5,"Chake Chake_Mfikiwa"
"Chake Chake","Kwale","Kwale","28/09/2017",1,0,3,"Chake Chake_Kwale"
"Chake Chake","Kilindi","Papani","28/09/2017",5,0,6,"Chake Chake_Kilindi"
"Chake Chake","Madungu","Kwa bihasina","28/09/2017",4,0,4,"Chake Chake_Madungu"
"Chake Chake","Ng'ambwa","Ng'mbwa","28/09/2017",11,0,11,"Chake Chake_Ng'ambwa"
"Chake Chake","Tibirinzi","Pondeni","28/09/2017",16,0,17,"Chake Chake_Tibirinzi"
"Chake Chake","Chonga","Ch'wiri gereji","28/09/2017",12,0,13,"Chake Chake_Chonga"
"Chake Chake","Ziwani","Uwelezo","28/09/2017",28,0,29,"Chake Chake_Ziwani"
"Chake Chake","Wawi","Mtemani","29/09/2017",25,0,26,"Chake Chake_Wawi"
"Micheweni","Kifundi","Adeni","20/12/2014",64,0,NA,"Micheweni_Kifundi"
"Micheweni","Finya","Baharini","16/12/2014",46,2,NA,"Micheweni_Finya"
"Micheweni","Chimba","Bule","16/12/2014",21,0,NA,"Micheweni_Chimba"
"Micheweni","Kinyasini","Bungala","16/12/2014",20,0,NA,"Micheweni_Kinyasini"
"Micheweni","Micheweni","Chaleni","19/12/2014",25,0,NA,"Micheweni_Micheweni"
"Micheweni","Msuka Mashariki","Chaleni","16/12/2014",24,0,NA,"Micheweni_Msuka Mashariki"
"Micheweni","Msuka Magharibi","Chanjaani","16/12/2014",12,0,NA,"Micheweni_Msuka Magharibi"
"Micheweni","Kinowe","Chanjaani","16/12/2014",18,2,NA,"Micheweni_Kinowe"
"Micheweni","Konde","Chonja","17/12/2014",42,1,NA,"Micheweni_Konde"
"Micheweni","Sizini","Chwaka","16/12/2014",16,0,NA,"Micheweni_Sizini"
"Micheweni","Wingwi Njuguni","Dodeani","16/12/2014",14,0,NA,"Micheweni_Wingwi Njuguni"
"Micheweni","Tondooni","Gari moshi","16/12/2014",28,0,NA,"Micheweni_Tondooni"
"Micheweni","Maziwa Ng'ombe","Kadhahari","17/12/2014",16,1,NA,"Micheweni_Maziwa Ng'ombe"
"Micheweni","Makangale","Kanisani","15/12/2014",49,0,NA,"Micheweni_Makangale"
"Micheweni","Mlindo","Kibendera","20/12/2014",27,0,NA,"Micheweni_Mlindo"
"Micheweni","Mihogoni","Kibubunzi","20/12/2014",10,0,NA,"Micheweni_Mihogoni"
"Micheweni","Shumba Viamboni","Kichangani","16/12/2014",23,0,NA,"Micheweni_Shumba Viamboni"
"Micheweni","Mtemani","Kidodi","16/12/2014",20,0,NA,"Micheweni_Mtemani"
"Micheweni","Tumbe Magharibi","Kidutani","16/12/2014",15,0,NA,"Micheweni_Tumbe Magharibi"
"Micheweni","Kiuyu Mbuyuni","Kiuyu","16/12/2014",13,1,NA,"Micheweni_Kiuyu Mbuyuni"
"Micheweni","Majenzi","Kwa Sharif","19/12/2014",2,0,NA,"Micheweni_Majenzi"
"Micheweni","Mgogoni","Kwale Gongo","16/12/2014",19,0,NA,"Micheweni_Mgogoni"
"Micheweni","Wingwi Mjananza","Mjananza","18/12/2014",5,0,NA,"Micheweni_Wingwi Mjananza"
"Micheweni","Shumba Mjini","Mzambarauni","19/12/2014",11,0,NA,"Micheweni_Shumba Mjini"
"Micheweni","Tumbe Mashariki","Nujao","16/12/2014",9,0,NA,"Micheweni_Tumbe Mashariki"
"Micheweni","Wingwi Mapofu","Ruwi","16/12/2014",20,1,NA,"Micheweni_Wingwi Mapofu"
"Wete","Kizimbani","Baghani","8/12/2014",18,4,NA,"Wete_Kizimbani"
"Wete","Jadida","Block 2","8/12/2014",20,0,NA,"Wete_Jadida"
"Wete","Bopwe","Bopwe","8/12/2014",9,0,NA,"Wete_Bopwe"
"Wete","Ukunjwi","Buyuni","8/12/2014",51,0,NA,"Wete_Ukunjwi"
"Wete","Utaani","Chasasa","12/12/2014",14,0,NA,"Wete_Utaani"
"Wete","Kiungoni","Choni","9/12/2014",17,0,NA,"Wete_Kiungoni"
"Wete","Chwale","Chwale","10/12/2014",4,0,NA,"Wete_Chwale"
"Wete","Mtambwe Kusini","Daya","11/12/2014",58,0,NA,"Wete_Mtambwe Kusini"
"Wete","Ole","Dodo","8/12/2014",51,0,NA,"Wete_Ole"
"Wete","Mtambwe Kaskazini","Fundo ","11/12/2014",104,0,NA,"Wete_Mtambwe Kaskazini"
"Wete","Gando","Gando","8/12/2014",20,0,NA,"Wete_Gando"
"Wete","Kinyikani","Hindi","10/12/2014",35,0,NA,"Wete_Kinyikani"
"Wete","Junguni","Junguni","8/12/2014",28,0,NA,"Wete_Junguni"
"Wete","Kangagani","Kangagani","8/12/2014",3,0,NA,"Wete_Kangagani"
"Wete","Kambini","Kichokoche","10/12/2014",5,0,NA,"Wete_Kambini"
"Wete","Limbani","Kifoi","8/12/2014",46,1,NA,"Wete_Limbani"
"Wete","Kiuyu Kigongoni","Kigongoni","10/12/2014",4,0,NA,"Wete_Kiuyu Kigongoni"
"Wete","Pandani","Kilimni","9/12/2014",37,0,NA,"Wete_Pandani"
"Wete","Fundo","Kimeleani","11/12/2014",25,0,NA,"Wete_Fundo"
"Wete","Kisiwani","Kisiwani","8/12/2014",29,0,NA,"Wete_Kisiwani"
"Wete","Mchanga Mdogo","Kiwani","10/12/2014",8,0,NA,"Wete_Mchanga Mdogo"
"Wete","Fundo","Mabaoni","11/11/2014",5,0,NA,"Wete_Fundo"
"Wete","Mzambarauni Takao","Machengwe","12/12/2014",27,0,NA,"Wete_Mzambarauni Takao"
"Wete","Piki","Matuuni","12/12/2014",23,0,NA,"Wete_Piki"
"Wete","Maziwani","Maziwani","8/12/2014",9,0,NA,"Wete_Maziwani"
"Wete","Mjini Ole","Mjini Ole","12/12/2014",10,0,NA,"Wete_Mjini Ole"
"Micheweni","Mtemani","Mtemani","8/12/2014",42,0,NA,"Micheweni_Mtemani"
"Wete","Pembeni","Pembeni","9/12/2014",8,0,NA,"Wete_Pembeni"
"Wete","Selem","Selemu","8/12/2014",6,1,NA,"Wete_Selem"
"Wete","Shengejuu","Shengejuu","9/12/2014",2,0,NA,"Wete_Shengejuu"
"Mkoani","Mizingani","Angola","6/12/2014",40,0,NA,"Mkoani_Mizingani"
"Mkoani","Mkungu","Bomani","1/12/2014",25,0,NA,"Mkoani_Mkungu"
"Mkoani","Kiwani","Bomani","1/12/2014",5,0,NA,"Mkoani_Kiwani"
"Mkoani","Muambe","Bwegeza","1/12/2014",18,0,NA,"Mkoani_Muambe"
"Mkoani","Ukutini","Chanjaani","6/12/2014",19,0,NA,"Mkoani_Ukutini"
"Mkoani","Chumbageni","Chumbageni","2/12/2014",33,5,NA,"Mkoani_Chumbageni"
"Mkoani","Changaweni","Chungu","3/12/2014",8,0,NA,"Mkoani_Changaweni"
"Mkoani","Ng'ombeni","Jondeni","3/12/2014",28,0,NA,"Mkoani_Ng'ombeni"
"Mkoani","Mtambile","Jonza","3/12/2014",35,0,NA,"Mkoani_Mtambile"
"Mkoani","Kengeja","Kaani","1/12/2014",35,0,NA,"Mkoani_Kengeja"
"Mkoani","Ngwachani","Kalani","2/12/2014",47,0,NA,"Mkoani_Ngwachani"
"Mkoani","Makombeni","Katuweni","3/12/2014",10,0,NA,"Mkoani_Makombeni"
"Mkoani","Kendwa","Kendwa","1/12/2014",5,2,NA,"Mkoani_Kendwa"
"Mkoani","Mtangani","Kichaka","6/12/2014",13,0,NA,"Mkoani_Mtangani"
"Mkoani","Chokocho","Kifumke","3/12/2014",15,0,NA,"Mkoani_Chokocho"
"Mkoani","Mjimbini","Kigongoni","1/12/2014",46,0,NA,"Mkoani_Mjimbini"
"Mkoani","Mgagadu","Kilimni","1/12/2014",12,0,NA,"Mkoani_Mgagadu"
"Mkoani","Stahabu","Kilimani","3/12/2014",17,0,NA,"Mkoani_Stahabu"
"Mkoani","Uweleni","Kindani","6/12/2014",15,0,NA,"Mkoani_Uweleni"
"Mkoani","Kuukuu","Kinyasini","6/12/2014",22,0,NA,"Mkoani_Kuukuu"
"Mkoani","Michenzani","Magombani","4/12/2014",40,2,NA,"Mkoani_Michenzani"
"Mkoani","Chambani","Mapape","2/12/2014",15,0,NA,"Mkoani_Chambani"
"Mkoani","Mbuyuni","Mbuyuni","3/12/2014",11,0,NA,"Mkoani_Mbuyuni"
"Mkoani","Kangani","Mgongia","6/12/2014",33,0,NA,"Mkoani_Kangani"
"Mkoani","Minazini","Mikinduni","2/12/2014",26,0,NA,"Mkoani_Minazini"
"Mkoani","Mkanyageni","Mkanyageni","4/12/2014",42,0,NA,"Mkoani_Mkanyageni"
"Mkoani","Kengeja","Njiweni","1/12/2014",15,1,NA,"Mkoani_Kengeja"
"Mkoani","Shidi","Shidi","4/12/2014",6,0,NA,"Mkoani_Shidi"
"Chake Chake","Vitongoji","Changuo","11/12/2013",29,0,NA,"Chake Chake_Vitongoji"
"Chake Chake","Chanjaani","Chanjamjawiri","11/12/2013",26,0,NA,"Chake Chake_Chanjaani"
"Chake Chake","Shungi","Chuchuu","11/12/2013",4,0,NA,"Chake Chake_Shungi"
"Chake Chake","Mfikiwa","Furaha,Mbuyuni","13/11/2013",25,1,NA,"Chake Chake_Mfikiwa"
"Chake Chake","Kwale","Kikuchuni","13/11/2013",3,0,NA,"Chake Chake_Kwale"
"Chake Chake","Kilindi","Kilindi,shungi","13/11/2013",13,8,NA,"Chake Chake_Kilindi"
"Chake Chake","Wawi","Kisumzi","11/12/2013",8,0,NA,"Chake Chake_Wawi"
"Chake Chake","Matale","Limani,Mchungani","13/11/2013",29,0,NA,"Chake Chake_Matale"
"Chake Chake","Mgogoni","Mgogoni","13/11/2013",5,0,NA,"Chake Chake_Mgogoni"
"Chake Chake","Ng'ambwa","Ngomahazi","13/11/2013",18,0,NA,"Chake Chake_Ng'ambwa"
"Chake Chake","Tibirinzi","Tibirinzi","11/12/2013",31,0,NA,"Chake Chake_Tibirinzi"
"Chake Chake","Wesha","Tondooni","11/12/2013",8,0,NA,"Chake Chake_Wesha"
"Chake Chake","Ziwani","Ziwani","11/12/2013",41,2,NA,"Chake Chake_Ziwani"
"Mkoani","Chambani","Chambani","11/11/2013",18,1,NA,"Mkoani_Chambani"
"Mkoani","Changaweni","Changaweni","11/12/2013",30,1,NA,"Mkoani_Changaweni"
"Mkoani","Kengeja","Chole","11/11/2013",39,0,NA,"Mkoani_Kengeja"
"Mkoani","Chumbageni","Chumbageni","16/01/2014",16,0,NA,"Mkoani_Chumbageni"
"Mkoani","Mizingani","Chumbageni","11/11/2013",47,0,NA,"Mkoani_Mizingani"
"Mkoani","Kiwani","Jondeni","11/12/2013",21,0,NA,"Mkoani_Kiwani"
"Mkoani","Mkanyageni","Jundamiti","11/12/2013",27,0,NA,"Mkoani_Mkanyageni"
"Mkoani","Kangani","Kangani","11/12/2013",19,0,NA,"Mkoani_Kangani"
"Mkoani","Kendwa","Kendwa","11/11/2013",1,0,NA,"Mkoani_Kendwa"
"Mkoani","Makombeni","Kifumkwe","11/12/2013",17,0,NA,"Mkoani_Makombeni"
"Mkoani","Stahabu","Kilimani","15/01/2014",4,0,NA,"Mkoani_Stahabu"
"Mkoani","Minazini","Kiumodomo","11/11/2013",5,0,NA,"Mkoani_Minazini"
"Mkoani","Chokocho","Kizimba","15/01/2014",16,0,NA,"Mkoani_Chokocho"
"Mkoani","Kuukuu","Kukuu","11/12/2013",30,8,NA,"Mkoani_Kuukuu"
"Mkoani","Mkungu","Kwa mgogo","16/01/2014",10,0,NA,"Mkoani_Mkungu"
"Mkoani","Michenzani","Mabofu","15/01/2014",8,0,NA,"Mkoani_Michenzani"
"Mkoani","Mkungu","Mahudusi","11/11/2013",7,0,NA,"Mkoani_Mkungu"
"Mkoani","Chambani","Mapape","15/01/2014",32,2,NA,"Mkoani_Chambani"
"Mkoani","Mbuguani","Mbuguani","11/12/2013",8,1,NA,"Mkoani_Mbuguani"
