"Region","District","Ward","Village","Population","matchWard","DW","matchVillage","DWV"
"Kaskazini Pemba","Wete","Kambini","Kambini",1438,"Kambini","Wete Kambini","Kambini","Wete Kambini kambini"
"Kaskazini Pemba","Wete","Kambini","Majenzi",1209,"Kambini","Wete Kambini","Majenzi","Wete Kambini majenzi"
"Kaskazini Pemba","Wete","Kambini","Hindi",697,"Kambini","Wete Kambini","Hindi","Wete Kambini hindi"
"Kaskazini Pemba","Wete","Kojani","Kojani",1386,"Kojani","Wete Kojani","Kojani","Wete Kojani kojani"
"Kaskazini Pemba","Wete","Kojani","Mji Mpya",412,"Kojani","Wete Kojani","Mji Mpya","Wete Kojani mji mpya"
"Kaskazini Pemba","Wete","Kojani","Makaani",560,"Kojani","Wete Kojani","Makaani","Wete Kojani makaani"
"Kaskazini Pemba","Wete","Ole","Kianga",2366,"Ole","Wete Ole","Kianga","Wete Ole kianga"
"Kaskazini Pemba","Wete","Ole","Ole",2765,"Ole","Wete Ole","Ole","Wete Ole ole"
"Kaskazini Pemba","Wete","Ole","Jonwe",1107,"Ole","Wete Ole","Jonwe","Wete Ole jonwe"
"Kaskazini Pemba","Wete","Ole","Kanambe",780,"Ole","Wete Ole","Kanambe","Wete Ole kanambe"
"Kaskazini Pemba","Wete","Kangagani","Kangagani",2003,"Kangagani","Wete Kangagani","Kangagani","Wete Kangagani kangagani"
"Kaskazini Pemba","Wete","Kangagani","Majenzi",1132,"Kangagani","Wete Kangagani","Majenzi","Wete Kangagani majenzi"
"Kaskazini Pemba","Wete","Kiuyu Minungwini","Penjewani",534,"Kiuyu Minungwini","Wete Kiuyu Minungwini","Penjewani","Wete Kiuyu Minungwini penjewani"
"Kaskazini Pemba","Wete","Kiuyu Minungwini","Mjini Kiuyu",735,"Kiuyu Minungwini","Wete Kiuyu Minungwini","Mjini Kiuyu","Wete Kiuyu Minungwini mjini kiuyu"
"Kaskazini Pemba","Wete","Kiuyu Minungwini","Maungweni",528,"Kiuyu Minungwini","Wete Kiuyu Minungwini","Maungweni","Wete Kiuyu Minungwini maungweni"
"Kaskazini Pemba","Wete","Kiuyu Minungwini","Koongo",1336,"Kiuyu Minungwini","Wete Kiuyu Minungwini","Koongo","Wete Kiuyu Minungwini koongo"
"Kaskazini Pemba","Wete","Piki","Bahanasa",810,"Piki","Wete Piki","Bahanasa","Wete Piki bahanasa"
"Kaskazini Pemba","Wete","Piki","Piki",1362,"Piki","Wete Piki","Piki","Wete Piki piki"
"Kaskazini Pemba","Wete","Piki","Bwagamoyo",1102,"Piki","Wete Piki","Bwagamoyo","Wete Piki bwagamoyo"
"Kaskazini Pemba","Wete","Kisiwani","Shangafu",1367,"Kisiwani","Wete Kisiwani","Shangafu","Wete Kisiwani shangafu"
"Kaskazini Pemba","Wete","Kisiwani","Kisiwani",1869,"Kisiwani","Wete Kisiwani","Kisiwani","Wete Kisiwani kisiwani"
"Kaskazini Pemba","Wete","Gando","Chaoni",217,"Gando","Wete Gando","Chaoni","Wete Gando chaoni"
"Kaskazini Pemba","Wete","Gando","Gando",695,"Gando","Wete Gando","Gando","Wete Gando gando"
"Kaskazini Pemba","Wete","Gando","Magogoni",720,"Gando","Wete Gando","Magogoni","Wete Gando magogoni"
"Kaskazini Pemba","Wete","Gando","Nduuni",578,"Gando","Wete Gando","Nduuni","Wete Gando nduuni"
"Kaskazini Pemba","Wete","Ukunjwi","Raha",591,"Ukunjwi","Wete Ukunjwi","Raha","Wete Ukunjwi raha"
"Kaskazini Pemba","Wete","Ukunjwi","Minyenyeni",303,"Ukunjwi","Wete Ukunjwi","Mnyenyeni","Wete Ukunjwi mnyenyeni"
"Kaskazini Pemba","Wete","Ukunjwi","Chozi",307,"Ukunjwi","Wete Ukunjwi","Chozi","Wete Ukunjwi chozi"
"Kaskazini Pemba","Wete","Ukunjwi","Ukunjwi",1568,"Ukunjwi","Wete Ukunjwi","Ukunjwi","Wete Ukunjwi ukunjwi"
"Kaskazini Pemba","Wete","Pandani","Mlindo",927,"Pandani","Wete Pandani","Mlindo","Wete Pandani mlindo"
"Kaskazini Pemba","Wete","Pandani","Pandani",1734,"Pandani","Wete Pandani","Pandani","Wete Pandani pandani"
"Kaskazini Pemba","Wete","Pandani","Mchangani",1923,"Pandani","Wete Pandani","Mchangani","Wete Pandani mchangani"
"Kaskazini Pemba","Wete","Pandani","Masipa",1311,"Pandani","Wete Pandani","Masipa","Wete Pandani masipa"
"Kaskazini Pemba","Wete","Shengejuu","Shengejuu",794,"Shengejuu","Wete Shengejuu","Shengejuu","Wete Shengejuu shengejuu"
"Kaskazini Pemba","Wete","Shengejuu","Masota",959,"Shengejuu","Wete Shengejuu","Masota","Wete Shengejuu masota"
"Kaskazini Pemba","Wete","Bopwe","Bopwe Mwisho",2085,"Bopwe","Wete Bopwe","Bopwe Mwisho","Wete Bopwe bopwe mwisho"
"Kaskazini Pemba","Wete","Bopwe","Bopwe Mjini",1317,"Bopwe","Wete Bopwe","Bopwe Mjini","Wete Bopwe bopwe mjini"
"Kaskazini Pemba","Wete","Bopwe","Sebuwatu",1810,"Bopwe","Wete Bopwe","Sebuwatu","Wete Bopwe sebuwatu"
"Kaskazini Pemba","Wete","Utaani","Utaani",1149,"Utaani","Wete Utaani","Utaani","Wete Utaani utaani"
"Kaskazini Pemba","Wete","Utaani","Mkwajuni",665,"Utaani","Wete Utaani","Mkwajuni","Wete Utaani mkwajuni"
"Kaskazini Pemba","Wete","Utaani","Chasasa",2015,"Utaani","Wete Utaani","Chasasa","Wete Utaani chasasa"
"Kaskazini Pemba","Wete","Mtambwe Kusini","Daya",1045,"Mtambwe Kusini","Wete Mtambwe Kusini","Daya","Wete Mtambwe Kusini daya"
"Kaskazini Pemba","Wete","Mtambwe Kusini","Kinazini",928,"Mtambwe Kusini","Wete Mtambwe Kusini","Kinazini","Wete Mtambwe Kusini kinazini"
"Kaskazini Pemba","Wete","Mtambwe Kusini","Makongeni",692,"Mtambwe Kusini","Wete Mtambwe Kusini","Makongeni","Wete Mtambwe Kusini makongeni"
"Kaskazini Pemba","Wete","Mtambwe Kusini","Kivumoni",778,"Mtambwe Kusini","Wete Mtambwe Kusini","Kivumoni","Wete Mtambwe Kusini kivumoni"
"Kaskazini Pemba","Wete","Mtambwe Kusini","Kokota",348,"Mtambwe Kusini","Wete Mtambwe Kusini","Kokota","Wete Mtambwe Kusini kokota"
"Kaskazini Pemba","Wete","Selem","Selem",1705,"Selem","Wete Selem","Selem","Wete Selem selem"
"Kaskazini Pemba","Wete","Selem","Kaizibe",476,"Selem","Wete Selem","Kauzibe","Wete Selem kauzibe"
"Kaskazini Pemba","Wete","Selem","Bomani",422,"Selem","Wete Selem","Bomani","Wete Selem bomani"
"Kaskazini Pemba","Wete","Kinyikani","Kinyikani",1161,"Kinyikani","Wete Kinyikani","Kinyikani","Wete Kinyikani kinyikani"
"Kaskazini Pemba","Wete","Kinyikani","Jojo",1135,"Kinyikani","Wete Kinyikani","Jojo","Wete Kinyikani jojo"
"Kaskazini Pemba","Wete","Chwale","Mkanjuni",440,"Chwale","Wete Chwale","Mkanjuni","Wete Chwale mkanjuni"
"Kaskazini Pemba","Wete","Chwale","Chwale",895,"Chwale","Wete Chwale","Chwale","Wete Chwale chwale"
"Kaskazini Pemba","Wete","Chwale","Madenjani",363,"Chwale","Wete Chwale","Madenjani","Wete Chwale madenjani"
"Kaskazini Pemba","Wete","Maziwani","Maziwani",1158,"Maziwani","Wete Maziwani","Maziwani","Wete Maziwani maziwani"
"Kaskazini Pemba","Wete","Maziwani","Mwane",893,"Maziwani","Wete Maziwani","Mwane","Wete Maziwani mwane"
"Kaskazini Pemba","Wete","Mpambani","Mkombo Ame",1027,"Mpambani","Wete Mpambani","Mkombo Ame","Wete Mpambani mkombo ame"
"Kaskazini Pemba","Wete","Mpambani","Mpambani",1151,"Mpambani","Wete Mpambani","Mpambani","Wete Mpambani mpambani"
"Kaskazini Pemba","Wete","Mjini Ole","Mjini Ole",1412,"Mjini Ole","Wete Mjini Ole","Mjini Ole","Wete Mjini Ole mjini ole"
"Kaskazini Pemba","Wete","Mjini Ole","Makaani",245,"Mjini Ole","Wete Mjini Ole","Makaani","Wete Mjini Ole makaani"
"Kaskazini Pemba","Wete","Mjini Ole","Mchangani",1874,"Mjini Ole","Wete Mjini Ole","Mchangani","Wete Mjini Ole mchangani"
"Kaskazini Pemba","Wete","Kiuyu Kigongoni","Fimbo",850,"Kiuyu Kigongoni","Wete Kiuyu Kigongoni","Fimbo","Wete Kiuyu Kigongoni fimbo"
"Kaskazini Pemba","Wete","Kiuyu Kigongoni","Maambani",367,"Kiuyu Kigongoni","Wete Kiuyu Kigongoni","Maambani","Wete Kiuyu Kigongoni maambani"
"Kaskazini Pemba","Wete","Kiuyu Kigongoni","Kigongoni",1486,"Kiuyu Kigongoni","Wete Kiuyu Kigongoni","Kigongoni","Wete Kiuyu Kigongoni kigongoni"
"Kaskazini Pemba","Wete","Mzambarauni Takao","Mchangani",315,"Mzambarauni Takao","Wete Mzambarauni Takao","Mchangani","Wete Mzambarauni Takao mchangani"
"Kaskazini Pemba","Wete","Mzambarauni Takao","Takao",1164,"Mzambarauni Takao","Wete Mzambarauni Takao","Takao","Wete Mzambarauni Takao takao"
"Kaskazini Pemba","Wete","Mzambarauni Takao","Machengwe",522,"Mzambarauni Takao","Wete Mzambarauni Takao","Machengwe","Wete Mzambarauni Takao machengwe"
"Kaskazini Pemba","Wete","Junguni","Junguni",1251,"Junguni","Wete Junguni","Junguni","Wete Junguni junguni"
"Kaskazini Pemba","Wete","Junguni","Utaani",1296,"Junguni","Wete Junguni","Utaani","Wete Junguni utaani"
"Kaskazini Pemba","Wete","Kiungoni","Kimango",931,"Kiungoni","Wete Kiungoni","Kimango","Wete Kiungoni kimango"
"Kaskazini Pemba","Wete","Kiungoni","Chonyi",1024,"Kiungoni","Wete Kiungoni","Chonyi","Wete Kiungoni chonyi"
"Kaskazini Pemba","Wete","Kiungoni","Kiungoni",444,"Kiungoni","Wete Kiungoni","Kiungoni","Wete Kiungoni kiungoni"
"Kaskazini Pemba","Wete","Kiungoni","Kivugo",713,"Kiungoni","Wete Kiungoni","Kivugo","Wete Kiungoni kivugo"
"Kaskazini Pemba","Wete","Pembeni","Pembeni",351,"Pembeni","Wete Pembeni","Pembeni","Wete Pembeni pembeni"
"Kaskazini Pemba","Wete","Pembeni","Mtemani",1338,"Pembeni","Wete Pembeni","Mtemani","Wete Pembeni mtemani"
"Kaskazini Pemba","Wete","Kizimbani","Mitondooni",2800,"Kizimbani","Wete Kizimbani","Mitondooni","Wete Kizimbani mitondooni"
"Kaskazini Pemba","Wete","Kizimbani","Miburani",1145,"Kizimbani","Wete Kizimbani","Miburani","Wete Kizimbani miburani"
"Kaskazini Pemba","Wete","Kizimbani","Kilwa Road",759,"Kizimbani","Wete Kizimbani","Kilwa Road","Wete Kizimbani kilwa road"
"Kaskazini Pemba","Wete","Kizimbani","Baghani",1171,"Kizimbani","Wete Kizimbani","Baghani","Wete Kizimbani baghani"
"Kaskazini Pemba","Wete","Limbani","Kifumbikai",1128,"Limbani","Wete Limbani","Kifumbikai","Wete Limbani kifumbikai"
"Kaskazini Pemba","Wete","Limbani","Limbani",2295,"Limbani","Wete Limbani","Limbani","Wete Limbani limbani"
"Kaskazini Pemba","Wete","Limbani","Tungamaa",496,"Limbani","Wete Limbani","Tungamaa","Wete Limbani tungamaa"
"Kaskazini Pemba","Wete","Jadida","Mtemani",1630,"Jadida","Wete Jadida","Mtemani","Wete Jadida mtemani"
"Kaskazini Pemba","Wete","Jadida","Jadida",1767,"Jadida","Wete Jadida","Jadida","Wete Jadida jadida"
"Kaskazini Pemba","Wete","Jadida","Chasasa",1146,"Jadida","Wete Jadida","Chasasa","Wete Jadida chasasa"
"Kaskazini Pemba","Wete","Jadida","Mji Mwema",1650,"Jadida","Wete Jadida","Mji Mwema","Wete Jadida mji mwema"
"Kaskazini Pemba","Micheweni","Micheweni","Mzambarauni",1263,"Micheweni","Micheweni Micheweni","Mzambarauni","Micheweni Micheweni mzambarauni"
"Kaskazini Pemba","Micheweni","Micheweni","Jichwa Gumu",641,"Micheweni","Micheweni Micheweni","Jichwagumu","Micheweni Micheweni jichwagumu"
"Kaskazini Pemba","Micheweni","Micheweni","Kwa Nondo",434,"Micheweni","Micheweni Micheweni","Kwa Nondo","Micheweni Micheweni kwa nondo"
"Kaskazini Pemba","Micheweni","Micheweni","Chamboni",1123,"Micheweni","Micheweni Micheweni","Chamboni","Micheweni Micheweni chamboni"
"Kaskazini Pemba","Micheweni","Micheweni","Mchuzi",1179,"Micheweni","Micheweni Micheweni","Mchuzi","Micheweni Micheweni mchuzi"
"Kaskazini Pemba","Micheweni","Micheweni","Rohombaya",778,"Micheweni","Micheweni Micheweni","Rohombaya","Micheweni Micheweni rohombaya"
"Kaskazini Pemba","Micheweni","Micheweni","Shimoni",779,"Micheweni","Micheweni Micheweni","Shimoni","Micheweni Micheweni shimoni"
"Kaskazini Pemba","Micheweni","Msuka Mashariki","Taponi",1321,"Msuka Mashariki","Micheweni Msuka Mashariki","Taponi","Micheweni Msuka Mashariki taponi"
"Kaskazini Pemba","Micheweni","Msuka Mashariki","Ungi",473,"Msuka Mashariki","Micheweni Msuka Mashariki","Ungi","Micheweni Msuka Mashariki ungi"
"Kaskazini Pemba","Micheweni","Msuka Mashariki","Kivumoni",834,"Msuka Mashariki","Micheweni Msuka Mashariki","Kivumoni","Micheweni Msuka Mashariki kivumoni"
"Kaskazini Pemba","Micheweni","Msuka Mashariki","Chaleni",812,"Msuka Mashariki","Micheweni Msuka Mashariki","Chaleni","Micheweni Msuka Mashariki chaleni"
"Kaskazini Pemba","Micheweni","Msuka Mashariki","Dodea",325,"Msuka Mashariki","Micheweni Msuka Mashariki","Dodea","Micheweni Msuka Mashariki dodea"
"Kaskazini Pemba","Micheweni","Msuka Mashariki","Kigongo",495,"Msuka Mashariki","Micheweni Msuka Mashariki","Kigongo","Micheweni Msuka Mashariki kigongo"
"Kaskazini Pemba","Micheweni","Kinowe","Kinowe",1203,"Kinowe","Micheweni Kinowe","Kinowe","Micheweni Kinowe kinowe"
"Kaskazini Pemba","Micheweni","Kinowe","Rahikani",1556,"Kinowe","Micheweni Kinowe","Rahikani","Micheweni Kinowe rahikani"
"Kaskazini Pemba","Micheweni","Kinowe","Furahia",1621,"Kinowe","Micheweni Kinowe","Furahia","Micheweni Kinowe furahia"
"Kaskazini Pemba","Micheweni","Tumbe Mashariki","Kikunguni",985,"Tumbe Mashariki","Micheweni Tumbe Mashariki","Kikunguni","Micheweni Tumbe Mashariki kikunguni"
"Kaskazini Pemba","Micheweni","Tumbe Mashariki","Kaliwa",1159,"Tumbe Mashariki","Micheweni Tumbe Mashariki","Kaliwa","Micheweni Tumbe Mashariki kaliwa"
"Kaskazini Pemba","Micheweni","Tumbe Mashariki","Mjini Tumbe",375,"Tumbe Mashariki","Micheweni Tumbe Mashariki","Mjini Tumbe","Micheweni Tumbe Mashariki mjini tumbe"
"Kaskazini Pemba","Micheweni","Tumbe Mashariki","Miembeni",1347,"Tumbe Mashariki","Micheweni Tumbe Mashariki","Miembeni","Micheweni Tumbe Mashariki miembeni"
"Kaskazini Pemba","Micheweni","Tumbe Mashariki","Nyikani",813,"Tumbe Mashariki","Micheweni Tumbe Mashariki","Nyikani","Micheweni Tumbe Mashariki nyikani"
"Kaskazini Pemba","Micheweni","Mgogoni","Chanjaani",1039,"Mgogoni","Micheweni Mgogoni","Chanjaani","Micheweni Mgogoni chanjaani"
"Kaskazini Pemba","Micheweni","Mgogoni","Kwale Gongo",1443,"Mgogoni","Micheweni Mgogoni","Kwale Gongo","Micheweni Mgogoni kwale gongo"
"Kaskazini Pemba","Micheweni","Shumba Viamboni","Uwondwe",1617,"Shumba Viamboni","Micheweni Shumba Viamboni","Uwondwe","Micheweni Shumba Viamboni uwondwe"
"Kaskazini Pemba","Micheweni","Shumba Viamboni","Shumba Viamboni",963,"Shumba Viamboni","Micheweni Shumba Viamboni","Shumba Viamboni","Micheweni Shumba Viamboni shumba viamboni"
"Kaskazini Pemba","Micheweni","Finya","Finya",1486,"Finya","Micheweni Finya","Finya","Micheweni Finya finya"
"Kaskazini Pemba","Micheweni","Finya","Banda Maji",1122,"Finya","Micheweni Finya","Banda Maji","Micheweni Finya banda maji"
"Kaskazini Pemba","Micheweni","Konde","Chanjaani",779,"Konde","Micheweni Konde","Chanjaani","Micheweni Konde chanjaani"
"Kaskazini Pemba","Micheweni","Konde","Kiperani",881,"Konde","Micheweni Konde","Kiperani","Micheweni Konde kiperani"
"Kaskazini Pemba","Micheweni","Konde","Konde",1383,"Konde","Micheweni Konde","Konde","Micheweni Konde konde"
"Kaskazini Pemba","Micheweni","Konde","Kiungani",1384,"Konde","Micheweni Konde","Kiungani","Micheweni Konde kiungani"
"Kaskazini Pemba","Micheweni","Konde","Kipange",1803,"Konde","Micheweni Konde","Kipange","Micheweni Konde kipange"
"Kaskazini Pemba","Micheweni","Konde","Kwa Manda",866,"Konde","Micheweni Konde","Kwa Manda","Micheweni Konde kwa manda"
"Kaskazini Pemba","Micheweni","Konde","Upembani",1477,"Konde","Micheweni Konde","Upembani","Micheweni Konde upembani"
"Kaskazini Pemba","Micheweni","Wingwi Mapofu","Kilindini",1071,"Wingwi Mapofu","Micheweni Wingwi Mapofu","Kilindini","Micheweni Wingwi Mapofu kilindini"
"Kaskazini Pemba","Micheweni","Wingwi Mapofu","Kandaani",1050,"Wingwi Mapofu","Micheweni Wingwi Mapofu","Kandaani","Micheweni Wingwi Mapofu kandaani"
"Kaskazini Pemba","Micheweni","Wingwi Mapofu","Mapofu",1356,"Wingwi Mapofu","Micheweni Wingwi Mapofu","Mapofu","Micheweni Wingwi Mapofu mapofu"
"Kaskazini Pemba","Micheweni","Wingwi Mapofu","Kinazini",1027,"Wingwi Mapofu","Micheweni Wingwi Mapofu","Kinazini","Micheweni Wingwi Mapofu kinazini"
"Kaskazini Pemba","Micheweni","Kiuyu Mbuyuni","Mkwaju Shauri",743,"Kiuyu Mbuyuni","Micheweni Kiuyu Mbuyuni","Mkwaju Shauri","Micheweni Kiuyu Mbuyuni mkwaju shauri"
"Kaskazini Pemba","Micheweni","Kiuyu Mbuyuni","Mkwaju Panda",799,"Kiuyu Mbuyuni","Micheweni Kiuyu Mbuyuni","Mkwaju Panda","Micheweni Kiuyu Mbuyuni mkwaju panda"
"Kaskazini Pemba","Micheweni","Kiuyu Mbuyuni","Mkondoni",1027,"Kiuyu Mbuyuni","Micheweni Kiuyu Mbuyuni","Mkondoni","Micheweni Kiuyu Mbuyuni mkondoni"
"Kaskazini Pemba","Micheweni","Kiuyu Mbuyuni","Shanake",903,"Kiuyu Mbuyuni","Micheweni Kiuyu Mbuyuni","Shanake","Micheweni Kiuyu Mbuyuni shanake"
"Kaskazini Pemba","Micheweni","Kiuyu Mbuyuni","Shanake",1496,"Kiuyu Mbuyuni","Micheweni Kiuyu Mbuyuni","Shanake","Micheweni Kiuyu Mbuyuni shanake"
"Kaskazini Pemba","Micheweni","Kiuyu Mbuyuni","Makombani",739,"Kiuyu Mbuyuni","Micheweni Kiuyu Mbuyuni","Makombani","Micheweni Kiuyu Mbuyuni makombani"
"Kaskazini Pemba","Micheweni","Kiuyu Mbuyuni","Mtongwe",709,"Kiuyu Mbuyuni","Micheweni Kiuyu Mbuyuni","Mtongwe","Micheweni Kiuyu Mbuyuni mtongwe"
"Kaskazini Pemba","Micheweni","Makangale","Mnarani",974,"Makangale","Micheweni Makangale","Mnarani","Micheweni Makangale mnarani"
"Kaskazini Pemba","Micheweni","Makangale","Jiwe Moja",1671,"Makangale","Micheweni Makangale","Jiwe Moja","Micheweni Makangale jiwe moja"
"Kaskazini Pemba","Micheweni","Wingwi Njuguni","Njuguni",1025,"Wingwi Njuguni","Micheweni Wingwi Njuguni","Njuguni","Micheweni Wingwi Njuguni njuguni"
"Kaskazini Pemba","Micheweni","Wingwi Njuguni","Kibuyuni",271,"Wingwi Njuguni","Micheweni Wingwi Njuguni","Kibuyuni","Micheweni Wingwi Njuguni kibuyuni"
"Kaskazini Pemba","Micheweni","Wingwi Njuguni","Dodeani",359,"Wingwi Njuguni","Micheweni Wingwi Njuguni","Dodeani","Micheweni Wingwi Njuguni dodeani"
"Kaskazini Pemba","Micheweni","Wingwi Njuguni","Mianzini",397,"Wingwi Njuguni","Micheweni Wingwi Njuguni","Mianzini","Micheweni Wingwi Njuguni mianzini"
"Kaskazini Pemba","Micheweni","Shumba Mjini","Chamboni",849,"Shumba Mjini","Micheweni Shumba Mjini","Chamboni","Micheweni Shumba Mjini chamboni"
"Kaskazini Pemba","Micheweni","Shumba Mjini","Msasani",1563,"Shumba Mjini","Micheweni Shumba Mjini","Msasani","Micheweni Shumba Mjini msasani"
"Kaskazini Pemba","Micheweni","Shumba Mjini","Mzambarauni",1132,"Shumba Mjini","Micheweni Shumba Mjini","Mzambarauni","Micheweni Shumba Mjini mzambarauni"
"Kaskazini Pemba","Micheweni","Shumba Mjini","Mtamaduni",543,"Shumba Mjini","Micheweni Shumba Mjini","Mtamaduni","Micheweni Shumba Mjini mtamaduni"
"Kaskazini Pemba","Micheweni","Shumba Mjini","Momogu",676,"Shumba Mjini","Micheweni Shumba Mjini","Momogu","Micheweni Shumba Mjini momogu"
"Kaskazini Pemba","Micheweni","Majenzi","Mjombo",726,"Majenzi","Micheweni Majenzi","Mjombo","Micheweni Majenzi mjombo"
"Kaskazini Pemba","Micheweni","Majenzi","Kwashaamemata",492,"Majenzi","Micheweni Majenzi","Kwa Shaamemata","Micheweni Majenzi kwa shaamemata"
"Kaskazini Pemba","Micheweni","Majenzi","Majenzi",287,"Majenzi","Micheweni Majenzi","Majenzi","Micheweni Majenzi majenzi"
"Kaskazini Pemba","Micheweni","Majenzi","Cottage",430,"Majenzi","Micheweni Majenzi","Cottage","Micheweni Majenzi cottage"
"Kaskazini Pemba","Micheweni","Majenzi","Tanga",435,"Majenzi","Micheweni Majenzi","Tanga","Micheweni Majenzi tanga"
"Kaskazini Pemba","Micheweni","Mjini Wingwi","Kidutani",281,"Mjini Wingwi","Micheweni Mjini Wingwi","Kidutani","Micheweni Mjini Wingwi kidutani"
"Kaskazini Pemba","Micheweni","Mjini Wingwi","Kiupwe",816,"Mjini Wingwi","Micheweni Mjini Wingwi","Kiupwe","Micheweni Mjini Wingwi kiupwe"
"Kaskazini Pemba","Micheweni","Mjini Wingwi","Sebudawa",516,"Mjini Wingwi","Micheweni Mjini Wingwi","Sebudawa","Micheweni Mjini Wingwi sebudawa"
"Kaskazini Pemba","Micheweni","Mjini Wingwi","Bondeni",1018,"Mjini Wingwi","Micheweni Mjini Wingwi","Bondeni","Micheweni Mjini Wingwi bondeni"
"Kaskazini Pemba","Micheweni","Mjini Wingwi","Dodoma",1154,"Mjini Wingwi","Micheweni Mjini Wingwi","Dodoma","Micheweni Mjini Wingwi dodoma"
"Kaskazini Pemba","Micheweni","Mjini Wingwi","Msasani",736,"Mjini Wingwi","Micheweni Mjini Wingwi","Msasani","Micheweni Mjini Wingwi msasani"
"Kaskazini Pemba","Micheweni","Msuka Magharibi","Mtongwe",2026,"Msuka Magharibi","Micheweni Msuka Magharibi","Mtongwe","Micheweni Msuka Magharibi mtongwe"
"Kaskazini Pemba","Micheweni","Msuka Magharibi","Dodea",292,"Msuka Magharibi","Micheweni Msuka Magharibi","Dodea","Micheweni Msuka Magharibi dodea"
"Kaskazini Pemba","Micheweni","Msuka Magharibi","Gombani",679,"Msuka Magharibi","Micheweni Msuka Magharibi","Gombani","Micheweni Msuka Magharibi gombani"
"Kaskazini Pemba","Micheweni","Msuka Magharibi","Mtoni",1277,"Msuka Magharibi","Micheweni Msuka Magharibi","Mtoni","Micheweni Msuka Magharibi mtoni"
"Kaskazini Pemba","Micheweni","Chimba","Pombwe",726,"Chimba","Micheweni Chimba","Pombwe","Micheweni Chimba pombwe"
"Kaskazini Pemba","Micheweni","Chimba","Chimba",1488,"Chimba","Micheweni Chimba","Chimba","Micheweni Chimba chimba"
"Kaskazini Pemba","Micheweni","Chimba","Bule",866,"Chimba","Micheweni Chimba","Bule","Micheweni Chimba bule"
"Kaskazini Pemba","Micheweni","Tumbe Magharibi","Mbuyuni",2027,"Tumbe Magharibi","Micheweni Tumbe Magharibi","Mbuyuni","Micheweni Tumbe Magharibi mbuyuni"
